id,sub,context
1011,Hydropower,"The recent catastrophe in the Chamoli district of Uttarakhand, where a large part of the Nanda Devi Glacier fell into the Alaknanda stream near Joshimath, caused severe flooding. The rapid flow of water caused mountain slides that fell into deep ravines destroying all the houses and structures that came in their path.The incident has wreaked havoc in the Upper Himalayas. The death toll has risen to more than two dozens, while more than 200 workers are still missing. Many workers were trapped in the water that filled in the tunnels constructed in the dam projects. The 250-meter long tunnel at Tapovan is blocked by debris, mud, and silt, making rescue operations difficult.From the 250-meter long tunnel in the environmentally sensitive area, only 80-meter stretch has been cleared. Workers are trapped in the remaining 170 meter stretch of the tunnel and are feared to have died of suffocation while making their livelihood.Is it development or the destruction of the environment and people?"
1012,Hydropower,"Mira Behn, an environmental activist of Garhwal, published an article in The Hindustan Times on June 5, 1950, titled 'Something is wrong in the Himalaya' stating that the flash floods in Uttarakhand are bound to wreak havoc as the sensitivity of the environment is being overlooked during the economic development processes. Later, she also wrote to the then Prime Minister Rajiv Gandhi.It is also pertinent to note that the incident has taken place in the cradle of the Chipko movement initiated in 1970 to save trees. Alas! Governments have neither listened to the cries of locals and environmental activists nor learnt a lesson from the tragedy of 2013.Still, more than 50 hydroelectric projects are underway on the Alaknanda and Bhagirathi rivers, while a committee of experts warned that such projects are a threat to the state. Even Uma Bharti, the former water resources minister, had during her tenure urged not to build power projects on the Ganga and its major tributaries since the Himalayas are an environmentally susceptible area."
1013,Hydropower,"The Environment Ministry has put on hold the clearances granted to the Karnataka government for the Kalasa-Banduri project, as it is awaiting the judgement of the Mahadayi Water Dispute Tribunal (MWDT), to which both governments of Goa and Karnataka had filed petitions on 14 August 2018. Moreover, the award has also been challenged before the Supreme Court by all three stakeholders that includes Maharashtra as well. The Kalasa-Banduri project proposes to divert Mahadayi river water from Kalasa and Banduri canals into the Malaprabha river."
1014,Hydropower,"The governments of Himachal Pradesh and Delhi have signed an agreement wherein the former will sell its share of Yamuna river water to Delhi at Rs 21 crore per annum. In 1994, a multi-state agreement was signed, in which Himachal government received 3 percent share of Yamuna water. However, this share remains unclaimed and at the request of the Delhi government, Himachal decided to sell its share of river water. This is the first time in the country that such an agreement has been signed between the two governments. (NDTV)"
1015,Hydropower,"As part of the Jal Jivan Hariyali campaign, the Bihar cabinet has given its green signal to the first phase of the Ganga Water Lift Scheme (GWLS) of the Water Resource Department. The first phase of the scheme, which will cost around Rs 2,836 crore, will ensure clean drinking water to Gaya, Bodhgaya and Rajgir. Pipelines will be laid out to supply 43 million cubic meter (MCM) and 7 MCM clean drinking water to the towns of Gaya and Rajgir respectively by 2021, through dedicated reservoirs and water treatment plants. In the second phase, the scheme will cover the Nawada town. (The Times of India)"
1016,Hydropower,"As per a recent study by Centre, it has been revealed that despite being a frontrunner in construction activities, Maharashtra lags in terms of implementing the sand mining policy. Besides Maharashtra, the study was conducted in 14 states including Karnataka, Andhra Pradesh, Gujarat, Uttar Pradesh, Madhya Pradesh and Tamil Nadu. Further, the study informed that Maharashtra is the only state that does not have any figure for the total production of river sand. Moreover, the state has no electronic measurement of the sand extracted or GPS-based tracking of the vehicles transporting it. (The Times of India)"
1017,Hydropower,"According to a new study by the Indian Institute of Technology – Indore (IIT-I), only one out of five river basins in the country can withstand extreme weather events and eight out of 10 vegetation types including croplands are likely to be non-resilient under similar conditions. The study aims to identify vulnerable river basins and vegetation types since India cannot have a uniform policy to tackle the impacts of extreme weather events. The study for the first time has developed a risk-and-resilience map of Indian terrestrial ecosystems to dry conditions and has found that 20 out of 25 river basins, including Ganga, Narmada and Tapi, are non-resilient, and they will not recover under extreme climatic conditions.105 out of 109 water bodies in Karnataka under CPCB, unfit for bathingAccording to a recent assessment by the Central Pollution Control Board (CPCB), water in 105 of the 109 lakes, ponds and tanks in Karnataka does not meet the primary quality criteria for outdoor bathing. Moreover, out of 435 water bodies across the country, 357 aren't upto the mark and the states which have fared poorly are Assam (29 out of 30 water bodies in poor condition), Telangana (56 of 59) and Jammu & Kashmir (25 of 28). As per CPCB, entry of sewage, dumping of garbage and industrial effluents are common reasons why most of these water bodies are polluted. (The Times of India)"
1018,Hydropower,"According to the latest report by the Comptroller and Auditor General of India (CAG), Gujarat has utilised only 19 percent of 18.88 lakh hectares of Culturable Command Area (CCA) created for irrigation purposes. Also, the report pointed out that the maximum utilisation of the CCA during any season in 2012-13 was just 18 percent and it could reach to just 19 per cent in 2016-17 which indicates sub-optimal utilisation of irrigation potential created in the state as a whole. Moreover, the auditor informed that Gujarat has spent Rs 2,122 crore between 2012-18 for the extension, renovation an dmodernisation (ERM) works of the existing canal systems and is still unable to minimise the gap between irrigation potential created and irrigation potential utilised. (The Indian Express)CAG finds flaws in execution of Sainj hydropower project in Kullu The Comptroller and Auditor General of India (CAG) has revealed that a delay of 29 months in the commissioning of 100 MW Sainj hydroelectric project in Kullu, Himachal Pradesh led to cost overrun of Rs 643.04 crore. The project that was scheduled to be completed by March 2015 with an estimated cost of Rs 676.29 crore was commissioned in September 2017 at a cost of Rs 1,319.33 crore. In the performance audit of the project, CAG detected flaws in the execution of project by Himachal Pradesh Power Corporation Limited (HHPCL) and found that the cost overrun was mainly due to time overrun, undue favour to the contractor, extra expenditure, currency fluctuation, change in design and excess deployment of staff. (The Economic Times)"
1019,Hydropower,"A recent study on the impact of super cyclonic storm Fani on a stretch of 40 km along the Mahanadi river has revealed, that extreme weather events like cyclones can have severe impacts on bird populations of a region. The study which accessed and kept a record of the bird population before and after the cyclone that made landfall on Odisha coast on May 3, 2019, found that the population of the birds a day before the cyclone was about 800 and dropped to 153 a day after the cyclone. The study highlighted that the changing pattern of global climate would increase the frequency and intensity of storms worldwide, and the possibilities of cyclonic effects on birds are also likely to consequently increase. (The Hindu)"
1020,Hydropower,"Calling the Luhri II Hydropower Project a farce, residents of Nanj village in Karsog have rejected the Social Impact Assessment (SIA) report prepared as part of the rules preceding the land acquisition process during a public hearing. As per the villagers, they were not given sufficient notice or complete information about the dam project prior to the public hearing. Moreover, they alleged that the SIA report did not include any details about the impact of the project and were sketchy and half-baked. Luhri II is one of the three projects being built on the last free-flowing stretch of the Sutlej river. The project will impact eight villages and submerge 119.79 hectares of land spread over 7.5 kilometres. (Hindustan Times)"
1021,Agriculture,"IoT in the agri-food supply chain helps measure and monitor sustainability indicators like crop productivity, fertiliser usage, and water efficiency Agricultural developments have played a pivotal role in the emergence of sedentary human civilisation. The agri-food sector remains crucial globally, yet conventional farming methods persist. Information and Communication Technology (ICT), with advancements like Machine Learning (ML), Internet of Things (IoT), Big Data Analytics (BDA), and Cloud computing, have significantly transformed agriculture. These technologies aim to promote sustainability by reducing greenhouse gas emissions, water consumption, enhancing nutrition, and improving agricultural efficiency to meet the growing food demand, especially with the projected global population of 9.6 billion by 2050. IoT has emerged as a game-changer in agriculture, enabling control over robots, autonomous vehicles, drones, and irrigation systems. It also aids in forecasting through classical and machine learning models, tracing the supply chain, and monitoring environmental, facility, machinery, weather, water, soil, and crop conditions. IoT platforms enhance sustainability, logistics, cold chain management, governance, collaboration, and risk mitigation, offering better connectivity, reduced human intervention, and improved energy management. However, IoT faces challenges in technology, society, and organisation, including decentralisation, privacy, security, data governance, internet availability, interoperability, and managing big data. Social challenges involve societal acceptance, technical skills, and legislation, while organizational challenges include trust, initial investment, return on investment, and heterogeneity. Despite the significance of IoT in agriculture, few studies have explored the influence of more than five critical factors on its adoption. Additionally, much of the existing literature overlooks these factors, signaling a research gap. Furthermore, previous research primarily focused on technical challenges during implementation, with limited attention to social, economic, and organizational factors affecting IoT adoption. To address these gaps, this study ‘Unlocking adoption challenges of IoT in Indian Agricultural and Food Supply Chain’ by Narwane et al aims to answer the following research questions: What are the critical factors of IoT adoption in the agri-food supply chain, particularly in emerging economies? What are the interrelationships between these critical factors? What are the most significant factors and how do they rank in importance? What steps should be taken to facilitate effective IoT adoption in the agri-food supply chain? So, IoT offers immense potential for the agricultural sector, but its adoption is hindered by various challenges. Addressing these challenges and understanding the critical factors is essential for harnessing IoT's capabilities to ensure a sustainable and productive future for the agri-food industry, particularly in emerging economies. IoT for agriculture and food sector IoT in the agri-food sector encompasses various functions such as greenhouse cultivation, precision agriculture, and machinery automation. It enables controlled plant growth in greenhouses through wireless sensor networks, enhancing efficiency and reducing human intervention. Precision agriculture employs data sensing via IoT sensors to control variables like labour, equipment, crop maturity, air and soil quality, and weather. IoT-enabled machinery operates autonomously, reducing losses and improving productivity. Tracing and tracking of agri-food products using technologies like Radio Frequency Identification (RFID) provide product history visibility. IoT is also used for monitoring livestock farming, forestry, aquaponics,"
1022,Agriculture,"ndia has made impressive progress in rural electrification (RE) since the government of India shifted its policy focus towards universal household electrification since early 2000s. However, evidence suggests limited impacts on household incomes and expenditures since agriculture still drives the economy and electricity is primarily used for generating income through pumping groundwater for irrigation - one of the important factors affecting prosperity among small holder farmers informs this paper titled 'The changing impact of rural electrification on Indian agriculture' published in Nature Communications. To make India self sufficient in grain production, it was realised that reliable and steady sources of irrigation were necessary for the success of the Green Revolution (GR). Regions that enjoyed GR-led increases in agricultural production had highly politicised agrarian lobbies who demanded better and cheaper resources to increase agricultural production. Thus, agricultural electricity coverage was increased in these states and electricity rates were also subsidised. Electricity for agricultural use was given more importance as compared to household electrification. By the early 1990s, the focus on grain production was reduced and thus rural electrification (RE) lagged behind in states which had lost out on GR-driven demand for electricity. The second wave of RE focused on domestic electrification in the early 2000s. The Rajiv Gandhi Grameen Vidyutikaran Yojana (RGGVY) launched in 2005, provided 90 percent grant-based financing to states for universal household electrification and free electricity connections for households below the poverty line. States were granted funding by the central government based on the number of rural households that needed electricity connections and prescribed electricity loads per household. Thus while RGGVY has led to rapid expansion of RE in India, but while it has been relatively successful in bridging the regional gap in household electrification, large regional differences still remain in electrified pumping of groundwater. The latest government numbers indicate near universal household electrification. However, very little information is available on the short-term or long-term impacts of RGGVY on rural economy and agriculture in India. This paper discusses the findings of a study that examines the consequences of this imbalance in rural electrification policy on agricultural development in India. Agriculture and groundwater irrigation in India Agriculture employs over 70 percent of the country’s rural working population and a large majority of small holder farmers depend on irrigation through pumping of groundwater because of its relatively low variable cost of extraction (provided the presence of electricity infrastructure) and individual accessibility. Groundwater can be accessed during dry cultivation months (the Rabi season) when surface water flow is diminished, making it an effective source of irrigation. Additionally, wells also give farmers independence, as it relieves them from the competing uses of hydropower generation and riparian rights like canals. Groundwater extraction in India has been increasing with increase in the number of deep tube-wells with depths greater than 70m, which require submersible pump-sets that run on electricity. Even shallow wells now use electricity for pumping as diesel is now more expensive than agricultural electricity in most Indian states. Hence it is used"
1023,Agriculture,"Challenging gender and caste identities: The women wheat farmers of Madhya Pradesh This study finds that gender plays a far more important role than caste in structuring “who decides"" among the men and women wheat farmers in Madhya Pradesh. However, women have now begun to challenge gendered caste structures that restrict them to unpaid agricultural work. Feminisation of agricultural labour in India India is experiencing masculinisation of labour and while the labour force participation rate (LFPR) of men is increasing, that of women is decreasing. However, the only exception to this pattern is in agriculture. In many parts of India, women provide labour across all productive and post-harvest farm tasks, regardless of caste and work on family fields and as hired labourers on other farms informs this paper titled 'Caste-gender intersectionalities in wheat-growing communities in Madhya Pradesh, India' published in Gender, Technology and Development'. For example, in 1981, two-thirds of men (66.3 percent) and four-fifths (82.6 percent) of women worked in agriculture while this has grown to (49.8 percent) for men and (65 percent) for women by 2011. SC and ST women dominate the rural labour force. In 2011, 83.7 percent of ST women, 69.1 percent of SC women, and 59.9 percent of non marginalised castes (NMC) women were working in agriculture. However, women are being less involved in paid labour across the caste hierarchy and are more likely than men to be engaged in manual labour and to be paid less than men for the same work. Agriculture is getting more and more mechanised and affecting women’s and men’s work in different ways. The type of crops also affect work patterns of men and women. For example, some crops are more male- or female-dominant with respect to the gender division of labour and can influence men’s or women’s work. Role of women in wheat based farming systems in Madhya Pradesh The paper discusses the findings of a study that explores the role of women in the wheat based farming systems in a rural village in Jabalpur district in Madhya Pradesh. It aims at answering the following questions: Is decision-making and labour in wheat farming feminised? In what ways do interactions between caste and gender determine and limit the spaces within which women can act in wheat-based systems? In what ways are women challenging their gender and caste identities to enhance their livelihoods by influencing their roles, responsibilities and decision-making in wheat? The study was carried out in a rural village with 250 households in Madhya Pradesh. Most people from the village belong to the Other Socially marginalised Castes (OSMC), ST, and SC categories with just six resident NMC families. Jabalpur, the district capital, is about 30 kilometers distant. The primary crops grown in the village include wheat, rice, pulses, and some vegetables. Large farmers comprise 2 percent, small farmers 60 percent, and the rest are marginal farmers. Majority of the people in the village own around around 1.5 acres of land. NMC and OSMC manage the land on one"
